smiles,compound_name
CC(=O)OC1CC2CCC1(C)C2(C)C.CC(=O)OC1CC2CCC1(C)C2(C)C,Compound_74
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Compound_75
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc([S@SP2](N)(=O)=O)cc2)cc1,Compound_76
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Compound_77
Cl.c1ccc2c(CC3=NCCN3)cccc2c1,Compound_78
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2.[Br-],Compound_79
CC1=NN(c2ccccc2)C(=O)C1,Compound_80
CN1C(C)(C)CCCC1(C)C,Compound_81
CC(C)(CO)C(O)C(=O)NCCCO,Compound_82
O=[P@SP3](O)(O)OC1C(O[P@SP2](=O)(O)O)C(O[P@SP1](=O)(O)O)C(O[P@SP2](=O)(O)O)C(O[P@SP2](=O)(O)O)C1O[P@SP1](=O)(O)O,Compound_83
CC1=C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2ccccc2C1=O,Compound_84
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,Compound_85
C=CCc1ccc(O)c(OC)c1,Compound_86
C[N+](C)(C)CCO[P@SP3](=O)([O-])O[P@SP3](=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,Compound_87
CNC1C(=O)NC2Cc3ccc(cc3)Oc3cc4cc(c3OC3OC(C(=O)O)C(O)C(O)C3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(OC2OC(CO)C(O)C(O)C2O)cc(O)cc1C(C(=O)O)NC3=O,Compound_88
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(OC3CC(C)(N)C(O)C(C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O.O=[P@SP2](O)(O)O.O=[P@SP2](O)(O)O,Compound_89
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,Compound_90
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,Compound_91
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,Compound_92
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,Compound_93
NC(=O)CN1CCCC1=O,Compound_94
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,Compound_95
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,Compound_96
CCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,Compound_97
CCN(CC)CCNC(=O)C1=C(C)N=C(/C=C2\C(=O)Nc3ccc(F)cc32)C1C.O=C(O)CC(O)C(=O)O,Compound_98
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,Compound_99
CCCN(CCC)[S@SP3](=O)(=O)c1ccc(C(=O)O)cc1,Compound_100
CC(C)Cc1ccc(C(C)C(=O)O)cc1,Compound_101
CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,Compound_102
C=CCNC(N)=S,Compound_103
CC(=O)N[S@SP3](=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,Compound_104
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,Compound_105
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,Compound_106
CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O,Compound_107
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Compound_108
NC(CC1=CN=C2C=CC=CC12)C(=O)O,Compound_109
CC1=CC(=O)c2ccccc2C1=O,Compound_110
NC1C(O)OC(CO)C(O)C1O,Compound_111
O=C([O-])C(O)C(O)C(O)C(O)CO.O=C([O-])C(O)C(O)C(O)C(O)CO.[Ca+2],Compound_112
CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,Compound_113
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl,Compound_114
COc1ccc2c(c1)C(=O)N(CCc1ccc([S@SP3](=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,Compound_115
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,Compound_116
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Compound_117
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,Compound_118
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O.O=[S@SP1](=O)(O)O,Compound_119
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,Compound_120
O=[N+]([O-])c1ccc(O)c2ncccc12,Compound_121
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,Compound_122
CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1.C[S@SP3](=O)(=O)O,Compound_123
CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl,Compound_124
N=c1nc(N2CCCCC2)cc(N)n1O,Compound_125
NNC(=O)c1ccncc1.Nc1ccc(C(=O)O)c(O)c1,Compound_126
CC(=O)[N-][S@SP3](=O)(=O)c1ccc(N)cc1.[Na+],Compound_127
OC1C(O)C(O)C(O)C(O)C1O,Compound_128
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,Compound_129
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],Compound_130
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,Compound_131
CC(O)(C[S@SP3](=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,Compound_132
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Compound_133
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],Compound_134
OCC(O)CN1CCN(c2ccccc2)CC1,Compound_135
CCOc1ccc(NC(=O)CC(C)O)cc1,Compound_136
CCNCC.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Compound_137
CCNC(=O)/C=C/c1cccc(Br)c1,Compound_138
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,Compound_139
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,Compound_140
CNCC(O)c1cccc(O)c1.Cl,Compound_141
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,Compound_142
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,Compound_143
OCC(O)C(O)C(O)C(O)CO,Compound_144
Oc1cccc2cccnc12,Compound_145
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C.Cl,Compound_146
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,Compound_147
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,Compound_148
C[S@SP1](=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,Compound_149
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,Compound_150
O=C1OC2C(O)C(O)OC2C1O,Compound_151
CCC(=O)c1c(O)cc(O)cc1O,Compound_152
CN1CCCN=C1/C=C/c1cccs1.O=C(O)C(O)C(O)C(=O)O,Compound_153
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,Compound_154
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,Compound_155
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,Compound_156
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,Compound_157
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,Compound_158
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.C[S@SP2](=O)(=O)O,Compound_159
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,Compound_160
c1ccc2c(c1)CCCC2C1=NCCN1,Compound_161
CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,Compound_162
S=C1N=CN=C2N=CN=C12,Compound_163
Cc1ccccc1OCC(O)CO,Compound_164
COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,Compound_165
O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],Compound_166
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Compound_167
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],Compound_168
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,Compound_169
CCNCC.O=[S@SP3](=O)(O)c1cc(O)ccc1O,Compound_170
CC(=O)Oc1ccccc1C(=O)O,Compound_171
NC(=O)c1ccccc1O,Compound_172
CC(N)CCCC(C)(C)O.Cl,Compound_173
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,Compound_174
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl,Compound_175
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,Compound_176
C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,Compound_177
CN(C)C(CCOc1cccc2ccccc12)c1ccccc1.Cl,Compound_178
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O,Compound_179
O=C(O)c1ccc([S@SP3](=O)(=O)N(Cl)Cl)cc1,Compound_180
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,Compound_181
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,Compound_182
O=CC(O)C(O)C(O)CO,Compound_183
Cl.O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Compound_184
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],Compound_185
CCC1(c2ccccc2)C(=O)NCNC1=O,Compound_186
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Compound_187
COc1nccnc1N[S@SP3](=O)(=O)c1ccc(N)cc1,Compound_188
NCC(O)CC(=O)O,Compound_189
CCN(CC)CCOC(=O)c1ccc(N)cc1,Compound_190
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,Compound_191
CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,Compound_192
C[N+](C)(C)CC(=O)O.[Cl-],Compound_193
Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],Compound_194
CCC(=O)c1ccc(O)cc1,Compound_195
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,Compound_196
CCOC(N)=O,Compound_197
O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Compound_198
CCN(CC)C(=S)SSC(=S)N(CC)CC,Compound_199
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,Compound_200
CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,Compound_201
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,Compound_202
CCOc1ccccc1C(N)=O,Compound_203
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,Compound_204
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,Compound_205
O=C(O)c1ccc[n+]([O-])c1,Compound_206
Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,Compound_207
O=C1CC=NC(=O)N1,Compound_208
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Compound_209
Nc1ncnc2[nH]cnc12,Compound_210
CC(=O)Nc1ccc(O)cc1,Compound_211
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,Compound_212
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1.Cl,Compound_213
Cl.Cl.O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Compound_214
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,Compound_215
Cl.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,Compound_216
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Compound_217
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O.[Br-],Compound_218
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12.Cl,Compound_219
CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1,Compound_220
CCCCNc1cc(C(=O)O)cc([S@SP3](N)(=O)=O)c1Oc1ccccc1,Compound_221
Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,Compound_222
CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,Compound_223
Nc1ccn(C2CCC(CO)O2)c(=O)n1,Compound_224
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1.Cl,Compound_225
CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1.CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1.O=[S@SP3](=O)(O)c1cccc2c([S@SP2](=O)(=O)O)cccc12,Compound_226
CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,Compound_227
CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1.Cc1ccc([S@SP2](=O)(=O)[O-])cc1,Compound_228
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,Compound_229
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,Compound_230
N[S@SP3](=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,Compound_231
CCn1c(=O)[nH]c2ccccc21,Compound_232
CCC1=C(C)CN(C(=O)NCCc2ccc([S@SP3](=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,Compound_233
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-],Compound_234
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C.O=C(O)c1ccccc1O,Compound_235
CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,Compound_236
CN1CCN2c3ncccc3Cc3ccccc3C2C1,Compound_237
Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1,Compound_238
CCNC1CN(CCCOC)[S@SP1](=O)(=O)c2sc([S@SP1](N)(=O)=O)cc21,Compound_239
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,Compound_240
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Compound_241
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,Compound_242
CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,Compound_243
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,Compound_244
Cc1c(-c2cnccn2)ssc1=S,Compound_245
NC1CCCCC1N.O=C1O[Pt]OC1=O,Compound_246
Cl.OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,Compound_247
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1.[Br-],Compound_248
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,Compound_249
Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,Compound_250
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,Compound_251
O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,Compound_252
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Compound_253
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],Compound_254
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,Compound_255
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1.[Br-].[Br-],Compound_256
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1,Compound_257
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,Compound_258
CC1OC1[P@SP1](=O)([O-])[O-].[Ca+2],Compound_259
CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,Compound_260
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl,Compound_261
Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,Compound_262
O=C1c2c(O)cccc2C(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21,Compound_263
Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,Compound_264
N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2.O,Compound_265
CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,Compound_266
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O.Cl,Compound_267
CCOC(=O)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,Compound_268
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Compound_269
CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,Compound_270
CCC(C)(C)c1ccc(CC(C)CN2CC(C)OC(C)C2)cc1.Cl,Compound_271
CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,Compound_272
NC1=NC(=O)C2=C(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C=NC2=N1,Compound_273
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,Compound_274
CCC(C(N)=O)N1CCCC1=O,Compound_275
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],Compound_276
Cc1ncc([N+](=O)[O-])n1CC(C)O,Compound_277
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Compound_278
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC.Cl,Compound_279
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CSC12)c1csc(N)n1,Compound_280
O=C(O)CCCCC1CCSS1,Compound_281
CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,Compound_282
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,Compound_283
CNCCCC1c2ccccc2C=Cc2ccccc21.Cl,Compound_284
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,Compound_285
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO[P@SP1](=O)([O-])[O-].[Na+].[Na+],Compound_286
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,Compound_287
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c([S@SP1](N)(=O)=O)c1.Cl,Compound_288
CN[S@SP3](=O)(=O)CC1=CC=C2N=CC(CCN(C)C)=C2C1.O=C(O)CCC(=O)O,Compound_289
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,Compound_290
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Compound_291
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Compound_292
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],Compound_293
Br.CN1CCCC1CC1=CN=C2CC=C(CC[S@SP3](=O)(=O)c3ccccc3)C=C12,Compound_294
OCC(O)CN1CCN(c2ccccc2)CC1,Compound_295
